temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,temple_urls,temple_address,lat,long,prophet,interval,prophet_start,prophet_end,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,guess_country,missing_state,first_word,lat_general,long_general,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID
Trujillo Peru Temple,2,2,1,28200,8.9,29,6,35,126.2,1,Attached,Yes,2008-12-13,2011-09-14,2015-06-21,https://churchofjesuschristtemples.org/trujillo-peru-temple,"Av. Mansiche Km 3.5, Carretera hacia Huanchaco, Huanchaco, Trujillo, La Libertad, Peru",-8.093369988768,-79.075754992233,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Trujillo, La Libertad, Peru",OPERATING,21 June 2015,4005658,trujillo-peru-temple,Trujillo,La Libertad,Peru,"June 21, 2015",NA,FALSE,Trujillo Peru ,-8.1116778,-79.0287742,NA,NA,NA,NA,NA
Tucson Arizona Temple,2,2,1,38216,7,9,0,9,NA,1,Attached,Yes,2012-10-06,2015-10-17,2017-08-13,https://churchofjesuschristtemples.org/tucson-arizona-temple,"7281 North Skyline Dr, Tucson, Arizona 85718, United States",32.338621715241,-110.948801297205,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Tucson, Arizona, United States",OPERATING,13 August 2017,4017571,tucson-arizona-temple,Tucson,Arizona,United States,"August 13, 2017",NA,FALSE,Tucson  ,32.2228765,-110.974847,04,019,004713,3,040190047133
Tuxtla Gutiérrez Mexico Temple,2,2,1,10700,1.56,7,6,13,NA,1,Attached,Yes,1999-02-25,1999-03-20,2000-03-12,https://churchofjesuschristtemples.org/tuxtla-gutierrez-mexico-temple,"Carretera a Chicoasén Kilometro 1.4, Esq. Paseo de la Roseta, Fraccionamiento San José Chapultepec, 29047 Tuxtla Gutiérrez, Chiapas, Mexico",16.764020005597,-93.159560036454,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Tuxtla Gutiérrez, Chiapas, Mexico",OPERATING,12 March 2000,37916,tuxtla-gutierrez-mexico-temple,Tuxtla Gutiérrez,Chiapas,Mexico,"March 12, 2000",NA,FALSE,Tuxtla Gutiérrez Mexico ,16.753801,-93.115959,NA,NA,NA,NA,NA
Twin Falls Idaho Temple,2,3,1,31245,9.1,16,0,16,NA,1,Attached,Yes,2004-10-02,2006-04-15,2008-08-24,https://churchofjesuschristtemples.org/twin-falls-idaho-temple,"1405 Eastland Dr N, Twin Falls, Idaho 83301, United States",42.58681501848,-114.441602041219,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Twin Falls, Idaho, United States",OPERATING,24 August 2008,75531,twin-falls-idaho-temple,Twin Falls,Idaho,United States,"August 24, 2008",NA,FALSE,Twin Falls  ,42.5704456,-114.4602554,16,083,000900,1,160830009001
Urdaneta Philippines Temple,2,3,1,NA,15.26,NA,NA,NA,93.4,1,Attached,Yes,2010-10-02,2019-01-16,NA,https://churchofjesuschristtemples.org/urdaneta-philippines-temple,"MacArthur Highway, Urdaneta, 2428, Philippines",15.98925131134,120.573261420169,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Urdaneta, Pangasinan, Philippines",CONSTRUCTION,Construction,4009691,urdaneta-philippines-temple,Urdaneta,Pangasinan,Philippines,,NA,FALSE,Urdaneta Philippines ,15.9759995,120.5668992,NA,NA,NA,NA,NA
Vancouver British Columbia Temple,2,2,1,28165,11.6,8,1,9,251.4,1,Attached,Yes,2006-05-25,2007-08-04,2010-05-02,https://churchofjesuschristtemples.org/vancouver-british-columbia-temple,"20370 82nd Ave, Langley, British Columbia V2Y 2A9, Canada",49.15122440511,-122.658045609788,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Langley, British Columbia, Canada",OPERATING,2 May 2010,4007091,vancouver-british-columbia-temple,Langley,British Columbia,Canada,"May 2, 2010",NA,FALSE,Vancouver British Columbia ,49.1039289,-122.657047,NA,NA,NA,NA,NA
Veracruz Mexico Temple,2,2,1,10700,3.39,13,1,14,48.6,1,Attached,Yes,1999-04-14,1999-05-29,2000-07-09,https://churchofjesuschristtemples.org/veracruz-mexico-temple,"Ave. Ejercito Mexicano, Esq. Michoacan, Colonia Luis Echeverria, 94295 Boca del Rio, Veracruz, Mexico",19.134923702229,-96.105730382659,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Boca del Rio, Veracruz, Mexico",OPERATING,9 July 2000,38680,veracruz-mexico-temple,Boca del Rio,Veracruz,Mexico,"July 9, 2000",NA,FALSE,Veracruz Mexico ,19.1007964,-96.1058339,NA,NA,NA,NA,NA
Vernal Utah Temple,2,3,1,38771,1.6,14,0,14,NA,2,Attached,Yes,1994-02-13,1995-05-13,1997-11-02,https://churchofjesuschristtemples.org/vernal-utah-temple,"420 W 200 S, Vernal, Utah 84078-2536, United States",40.452843726728,-109.536716011864,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z,"Vernal, Utah, United States",OPERATING,2 November 1997,16,vernal-utah-temple,Vernal,Utah,United States,"November 2, 1997",NA,FALSE,Vernal  ,40.4556825,-109.528474,49,047,968402,3,490479684023
Villahermosa Mexico Temple,2,2,1,10700,1.36,6,3,9,62.1,1,Attached,Yes,1998-10-30,1999-01-09,2000-05-21,https://churchofjesuschristtemples.org/villahermosa-mexico-temple,"Avenida 27 de Febrero #1717, Colonia Atasta de Serra, 86100 Villahermosa, Tabasco, Mexico",17.983331970924,-92.94271521485,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Villahermosa, Tabasco, Mexico",OPERATING,21 May 2000,36991,villahermosa-mexico-temple,Villahermosa,Tabasco,Mexico,"May 21, 2000",NA,FALSE,Villahermosa Mexico ,18.0018152,-92.9330401483751,NA,NA,NA,NA,NA
Vitória Brazil Temple,1,1,1,10600,NA,NA,NA,NA,0.2,NA,NA,NA,2021-10-03,NA,NA,https://churchofjesuschristtemples.org/vitoria-brazil-temple,"Avenida Leitão da Silva #2055, Iteraré, Vitória–ES, Brazil",-20.296389996212,-40.304779978611,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,Brazil,ANNOUNCED,Announced,4142976,vitoria-brazil-temple,,,brazil,,brazil,TRUE,Vitória Brazil ,-10.3333333,-53.2,NA,NA,NA,NA,NA
Washington D.C. Temple,6,10,1,156558,52,25,0,25,289.4,6,Attached,Yes,1968-11-15,1968-12-07,1974-11-19,https://churchofjesuschristtemples.org/washington-d.c.-temple,"9900 Stoneybrook Dr, Kensington, Maryland 20895-3199, United States",39.015766987119,-77.064511960868,David O. McKay,1951-04-09 UTC--1970-01-18 UTC,1951-04-09T00:00:00Z,1970-01-18T00:00:00Z,"Kensington, Maryland, United States",OPERATING,19 November 1974,54,washington-d.c.-temple,Kensington,Maryland,United States,"November 19, 1974",NA,FALSE, D.C. ,39.0258405,-77.0750246,24,031,704100,2,240317041002
Wellington New Zealand Temple,NA,NA,NA,14900,3.35,NA,NA,NA,70.1,NA,NA,NA,2022-04-03,NA,NA,https://churchofjesuschristtemples.org/wellington-new-zealand-temple,"Near Okowai Road and Whitford Brown Avenue, Aotea, Porirua, New Zealand",-41.122869989426,174.855710023481,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,New Zealand,ANNOUNCED,Announced,4148120,wellington-new-zealand-temple,,,new zealand,,new zealand,TRUE,Wellington New Zealand ,-41.5000831,172.8344077,NA,NA,NA,NA,NA
Wichita Kansas Temple,1,1,1,9950,6.42,NA,NA,NA,NA,NA,NA,NA,2022-04-03,NA,NA,https://churchofjesuschristtemples.org/wichita-kansas-temple,"North Meridian Avenue, Wichita, Kansas, United States",37.788109880695004,-97.371891651054,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Kansas, United States",ANNOUNCED,Announced,4148132,wichita-kansas-temple,Wichita,Kansas,United States,,NA,TRUE,Wichita  ,37.6922361,-97.3375448,20,173,008100,3,201730081003
Willamette Valley Oregon Temple,2,2,1,30000,10.5,NA,NA,NA,429.4,1,Attached,No,2021-04-04,2022-10-29,NA,https://churchofjesuschristtemples.org/willamette-valley-oregon-temple,"International Boulevard and Corporate Way, Springfield, Oregon, United States",44.088419980411,-123.033650006649,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Oregon, United States",CONSTRUCTION,Construction,4138366,willamette-valley-oregon-temple,Willamette Valley,Oregon,United States,,NA,TRUE,Willamette Valley  ,45.03332045,-122.74149333240072,41,039,002101,1,410390021011
Winnipeg Manitoba Temple,1,1,1,16100,7.7,2,0,2,766.2,1,Attached,Yes,2011-04-02,2016-12-03,2021-10-31,https://churchofjesuschristtemples.org/winnipeg-manitoba-temple,"15 Centre St, Winnipeg, Manitoba R3Y 2C3, Canada",49.801012379956,-97.194674023052,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Winnipeg, Manitoba, Canada",OPERATING,31 October 2021,4010937,winnipeg-manitoba-temple,Winnipeg,Manitoba,Canada,"October 31, 2021",NA,FALSE,Winnipeg Manitoba ,49.8955367,-97.1384584,NA,NA,NA,NA,NA
Winter Quarters Nebraska Temple,2,2,1,16000,1.92,11,0,11,NA,1,Attached,Yes,1999-06-14,1999-11-28,2001-04-22,https://churchofjesuschristtemples.org/winter-quarters-nebraska-temple,"8283 N 34th St, Omaha, Nebraska 68112, United States",41.334093991357,-95.966192034989,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Omaha, Nebraska, United States",OPERATING,22 April 2001,40202,winter-quarters-nebraska-temple,Omaha,Nebraska,United States,"April 22, 2001",NA,FALSE,Winter Quarters  ,41.2587459,-95.9383758,31,055,006202,1,310550062021
Yigo Guam Temple,1,1,1,6861,5.8,2,1,3,487.1,1,Attached,No,2018-10-07,2019-05-04,2022-05-22,https://churchofjesuschristtemples.org/yigo-guam-temple,"321 Chalan Pale Ramon Lagu, Rte 1, Yigo 96929, Guam",13.54708103102,144.872941172054,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Yigo, Guam",OPERATING,22 May 2022,4114415,yigo-guam-temple,Yigo,,Guam,"May 22, 2022",NA,TRUE,Yigo Guam ,NA,NA,NA,NA,NA,NA,NA
Yorba Linda California Temple,2,2,1,30872,5.46,NA,NA,NA,361.8,1,Attached,No,2021-04-04,2022-06-18,NA,https://churchofjesuschristtemples.org/yorba-linda-california-temple,"17130 Bastanchury Road, Yorba Linda, California, United States",33.89924168471,-117.835277800871,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"California, United States",CONSTRUCTION,Construction,4138368,yorba-linda-california-temple,Yorba Linda,California,United States,,NA,TRUE,Yorba Linda  ,33.8901096,-117.8249705,06,059,021809,2,060590218092
