temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,temple_urls,temple_address,lat,long,prophet,interval,prophet_start,prophet_end,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,guess_country,missing_state,first_word,lat_general,long_general,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID
St. Louis Missouri Temple,4,4,1,58749,14,10,0,10,581.8,1,Attached,Yes,1990-12-29,1993-10-30,1997-06-01,https://churchofjesuschristtemples.org/st.-louis-missouri-temple,"12555 N Outer Forty Dr, St. Louis, Missouri 63141-8620, United States",38.638933964264,-90.465602896552,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z,"St. Louis, Missouri, United States",OPERATING,1 June 1997,20,st.-louis-missouri-temple,St. Louis,Missouri,United States,"June 1, 1997",NA,FALSE,St. Louis  ,38.6280278,-90.1910154,29,189,215201,3,291892152013
St. Paul Minnesota Temple,2,2,1,10700,7.5,9,0,9,NA,1,Attached,Yes,1998-07-29,1998-09-26,2000-01-09,https://churchofjesuschristtemples.org/st.-paul-minnesota-temple,"2150 Hadley Ave N, Oakdale, Minnesota 55128-4505, United States",44.980233984524,-92.965347987118,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Oakdale, Minnesota, United States",OPERATING,9 January 2000,36568,st.-paul-minnesota-temple,Oakdale,Minnesota,United States,"January 9, 2000",NA,FALSE,St. Paul  ,44.985624,-92.9645794,27,163,070911,2,271630709112
Star Valley Wyoming Temple,1,1,1,18609,43.6,5,0,5,NA,1,Attached,Yes,2011-10-01,2015-04-25,2016-10-30,https://churchofjesuschristtemples.org/star-valley-wyoming-temple,"885 S Washington St, Afton, Wyoming 83110, United States",42.714415638878,-110.933468632563,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z,"Afton, Wyoming, United States",OPERATING,30 October 2016,4012421,star-valley-wyoming-temple,Afton,Wyoming,United States,"October 30, 2016",NA,FALSE,Star Valley  ,42.7252774,-110.933402,56,023,978100,3,560239781003
Stockholm Sweden Temple,4,3,1,16366,4.47,5,2,7,138.3,6,Detached,Yes,1981-04-01,1984-03-17,1985-07-02,https://churchofjesuschristtemples.org/stockholm-sweden-temple,"Tempelvägen 5, SE-13742 Västerhaninge, Sweden",59.124710009957,18.109159980951,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Vasterhaninge, Sweden",RENOVATION,Renovation,66,stockholm-sweden-temple,Vasterhaninge,,Sweden,,NA,TRUE,Stockholm Sweden ,59.1221593,18.1085969,NA,NA,NA,NA,NA
Suva Fiji Temple,2,2,1,12755,4.7,9,21,30,308.3,1,Attached,Yes,1998-05-07,1999-05-08,2000-06-18,https://churchofjesuschristtemples.org/suva-fiji-temple,"LOT 2-20 Lakeba St, Samabula, Suva, Fiji",-18.117942581753,178.446097027423,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Samabula, Suva, Fiji",OPERATING,18 June 2000,36569,suva-fiji-temple,Samabula,Suva,Fiji,"June 18, 2000",NA,FALSE,Suva Fiji ,-18.1173104,178.4426504,NA,NA,NA,NA,NA
Sydney Australia Temple,2,3,1,30677,3,11,2,13,418.2,1,Attached,Yes,1980-04-02,1982-08-13,1984-09-20,https://churchofjesuschristtemples.org/sydney-australia-temple,"756 Pennant Hills Road, Corner Pennant Hills Rd & Moseley St., Carlingford, New South Wales 2118, Australia",-33.776000008814,151.051329975506,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Carlingford, New South Wales, Australia",OPERATING,20 September 1984,9,sydney-australia-temple,Carlingford,New South Wales,Australia,"September 20, 1984",NA,FALSE,Sydney Australia ,-33.7744947,151.0475215,NA,NA,NA,NA,NA
Syracuse Utah Temple,4,4,2,88886,12.27,NA,NA,NA,NA,1,Attached,No,2020-04-05,2021-06-12,NA,https://churchofjesuschristtemples.org/syracuse-utah-temple,"1025 South 2500 West, Syracuse, Utah 84075, United States",41.099390568905,-112.074103979403,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Syracuse, Utah, United States",CONSTRUCTION,Construction,4130690,syracuse-utah-temple,Syracuse,Utah,United States,,NA,FALSE,Syracuse  ,41.0895938,-112.0638903,49,011,125401,1,490111254011
Taipei Taiwan Temple,4,3,1,9945,0.5,16,0,16,16,6,Detached,Yes,1982-03-31,1982-08-27,1984-11-17,https://churchofjesuschristtemples.org/taipei-taiwan-temple,"256 Ai Kuo East Road, Taipei 10642, Taiwan",25.031490002308,121.527510016005,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z,"Taipei, Taipei, Taiwan",OPERATING,17 November 1984,53,taipei-taiwan-temple,Taipei,Taipei,Taiwan,"November 17, 1984",NA,FALSE,Taipei Taiwan ,25.0402883,121.516830614113,NA,NA,NA,NA,NA
Tallahassee Florida Temple,2,2,1,29000,4.97,NA,NA,NA,204.4,1,Attached,No,2020-04-05,2021-06-05,NA,https://churchofjesuschristtemples.org/tallahassee-florida-temple,"2440 Papillon Way, Tallahassee, Florida 32309, United States",30.520231984798,-84.238656984753,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Tallahassee, Florida, United States",CONSTRUCTION,Construction,4130711,tallahassee-florida-temple,Tallahassee,Florida,United States,,NA,FALSE,Tallahassee  ,30.4380832,-84.2809332,12,073,002415,2,120730024152
Tampa Florida Temple,2,2,1,30000,16.2,NA,NA,NA,65.6,1,Attached,No,2022-04-03,NA,NA,https://churchofjesuschristtemples.org/tampa-florida-temple,"4806 Bell Shoals Road, Valrico, Florida, United States",27.867357995299,-82.268559039695,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,"Florida, United States",ANNOUNCED,Announced,4148129,tampa-florida-temple,Tampa,Florida,United States,,NA,TRUE,Tampa  ,27.9477595,-82.458444,12,057,013415,1,120570134151
Tampico Mexico Temple,2,2,1,10700,2.96,11,2,13,73,1,Attached,Yes,1998-07-08,1998-11-28,2000-05-20,https://churchofjesuschristtemples.org/tampico-mexico-temple,"Av. Ejercito Mexicano #74 Con 3A Av., Colonia Loma del Gallo, 89480 Ciudad Madero, Tamaulipas, Mexico",22.252700003913,-97.856559975937,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z,"Ciudad Madero, Tamaulipas, Mexico",OPERATING,20 May 2000,36570,tampico-mexico-temple,Ciudad Madero,Tamaulipas,Mexico,"May 20, 2000",NA,FALSE,Tampico Mexico ,22.2474012,-97.8373079,NA,NA,NA,NA,NA
Tarawa Kiribati Temple,1,1,1,10000,0.8,NA,NA,NA,25.5,1,Attached,No,2020-10-04,NA,NA,https://churchofjesuschristtemples.org/tarawa-kiribati-temple,"Ambo, Tarawa, Kiribati",1.35548,172.93646,Russell M. Nelson,2018-01-14 UTC--2023-10-26 UTC,2018-01-14T00:00:00Z,2023-10-26T00:00:00Z,Kiribati,ANNOUNCED,Announced,4134470,tarawa-kiribati-temple,,,kiribati,,kiribati,TRUE,Tarawa Kiribati ,0.3448612,173.6641773,NA,NA,NA,NA,NA
