temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,prophet,interval,prophet_start,prophet_end
Kinshasa Democratic Republic of the Congo Temple,1,1,1,12000,5,31,8,39,914,1,Attached,No,2011-10-01,2016-02-12,2019-04-14,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Knoxville Tennessee Temple,2,2,1,30000,4.99,NA,NA,NA,989.3,1,Attached,No,2022-04-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Kona Hawaii Temple,2,2,1,10700,7.02,4,0,4,198.4,1,Attached,Yes,1998-05-07,1999-03-13,2000-01-23,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Kumasi Ghana Temple,NA,NA,NA,22750,2.08,NA,NA,NA,918,NA,NA,NA,2021-04-04,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Kyiv Ukraine Temple,2,2,1,22184,12.35,4,8,12,562.5,1,Attached,Yes,1998-07-20,2007-06-23,2010-08-29,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
La Paz Bolivia Temple,NA,NA,NA,18850,3.8,NA,NA,NA,NA,NA,NA,NA,2021-10-03,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Lagos Nigeria Temple,2,2,1,19800,2.7,NA,NA,NA,5.7,NA,NA,NA,2018-10-07,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Laie Hawaii Temple,4,5,1,42100,11.4,14,0,14,29.2,1,Attached,No,1915-10-03,1916-02-08,1919-11-27,Joseph F. Smith,1901-10-17 UTC--1918-11-19 UTC,1901-10-17T00:00:00Z,1918-11-19T00:00:00Z
Las Vegas Nevada Temple,4,6,1,80350,10.3,30,0,30,NA,6,Attached,Yes,1984-04-07,1985-11-30,1989-12-16,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Layton Utah Temple,NA,NA,NA,87000,11.87,NA,NA,NA,NA,2,Attached,Yes,2018-04-01,2020-05-23,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Lethbridge Alberta Temple,NA,NA,NA,45000,9,NA,NA,NA,NA,NA,NA,NA,2023-04-02,NA,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
Lima Peru Los Olivos Temple,NA,NA,NA,22077,2.46,NA,NA,NA,332.4,1,Attached,No,2016-04-03,2019-06-08,2024-01-14,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Lima Peru Temple,4,3,1,9600,4.5,68,7,75,812.7,6,Detached,Yes,1981-04-01,1982-09-11,1986-01-10,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Lindon Utah Temple,4,4,2,87005,11.87,NA,NA,NA,NA,2,Attached,No,2020-10-04,2022-04-23,NA,Russell M. Nelson,2018-01-14 UTC--2023-10-25 UTC,2018-01-14T00:00:00Z,2023-10-25T00:00:00Z
