name,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,guess_country,missing_state,first_word,lat,long
Portland Oregon Temple,"Lake Oswego, Oregon, United States",OPERATING,19 August 1989,63,portland-oregon-temple,Lake Oswego,Oregon,United States,"August 19, 1989",NA,FALSE,Portland  ,45.4206749,-122.670649
San Diego California Temple,"San Diego, California, United States",RENOVATION,Renovation,64,san-diego-california-temple,San Diego,California,United States,,NA,FALSE,San Diego  ,32.7174202,-117.1627728
Santo Domingo Dominican Republic Temple,"Santo Domingo, Distrito Nacional, Dominican Republic",OPERATING,17 September 2000,65,santo-domingo-dominican-republic-temple,Santo Domingo,Distrito Nacional,Dominican Republic,"September 17, 2000",NA,FALSE,Santo Domingo Dominican Republic ,18.4801972,-69.942111
Cobán Guatemala Temple,"Coban, Guatemala",CONSTRUCTION,Construction,4124796,coban-guatemala-temple,Coban,,Guatemala,,NA,TRUE,Cobán Guatemala ,15.4702001,-90.3735065
Stockholm Sweden Temple,"Vasterhaninge, Sweden",RENOVATION,Renovation,66,stockholm-sweden-temple,Vasterhaninge,,Sweden,,NA,TRUE,Stockholm Sweden ,59.1221593,18.1085969
Taylorsville Utah Temple,"Taylorsville, Utah, United States",CONSTRUCTION,Construction,4124797,taylorsville-utah-temple,Taylorsville,Utah,United States,,NA,FALSE,Taylorsville  ,40.6676347,-111.9388027
Toronto Ontario Temple,"Brampton, Ontario, Canada",OPERATING,25 August 1990,67,toronto-ontario-temple,Brampton,Ontario,Canada,"August 25, 1990",NA,FALSE,Toronto Ontario ,43.685832,-79.7599366
Bacolod Philippines Temple,"Lanao Del Norte, Philippines",CONSTRUCTION,Construction,4124794,bacolod-philippines-temple,Lanao Del Norte,,Philippines,,NA,TRUE,Bacolod Philippines ,NA,NA
Caracas Venezuela Temple,"Caracas, Dependencias Federales, Venezuela",OPERATING,20 August 2000,68,caracas-venezuela-temple,Caracas,Dependencias Federales,Venezuela,"August 20, 2000",NA,FALSE,Caracas Venezuela ,NA,NA
McAllen Texas Temple,"McAllen, Texas, United States",OPERATING,8 October 2023,4124795,mcallen-texas-temple,McAllen,Texas,United States,"October 8, 2023",NA,FALSE,McAllen  ,26.204114,-98.2300605
Port Moresby Papua New Guinea Temple,Papua New Guinea,CONSTRUCTION,Construction,4124792,port-moresby-papua-new-guinea-temple,,,papua new guinea,,papua new guinea,TRUE,Port Moresby Papua New Guinea ,-5.6816069,144.2489081
Bentonville Arkansas Temple,"Bentonville, Arkansas, United States",OPERATING,17 September 2023,4124793,bentonville-arkansas-temple,Bentonville,Arkansas,United States,"September 17, 2023",NA,FALSE,Bentonville  ,36.3728538,-94.2088172
Freetown Sierra Leone Temple,Sierra Leone,CONSTRUCTION,Construction,4124790,freetown-sierra-leone-temple,,,sierra leone,,sierra leone,TRUE,Freetown Sierra Leone ,8.6400349,-11.8400269
Orem Utah Temple,"Orem, Utah, United States",CONSTRUCTION,Construction,4124791,orem-utah-temple,Orem,Utah,United States,,NA,FALSE,Orem  ,40.2981599,-111.6944313
Panama City Panama Temple,"Corozal, Ancon, Panamá, Panama",OPERATING,10 August 2008,69207,panama-city-panama-temple,Corozal,Ancon,Panama,"August 10, 2008",NA,FALSE,Panama City Panama ,8.9816011,-79.5747055
Curitiba Brazil Temple,"Curitiba, Parana, Brazil",OPERATING,1 June 2008,69206,curitiba-brazil-temple,Curitiba,Parana,Brazil,"June 1, 2008",NA,FALSE,Curitiba Brazil ,-25.4295963,-49.2712724
Manhattan New York Temple,"New York, New York, United States",OPERATING,13 June 2004,69208,manhattan-new-york-temple,New York,New York,United States,"June 13, 2004",NA,FALSE,Manhattan  ,40.7127281,-74.0060152
San Antonio Texas Temple,"San Antonio, Texas, United States",OPERATING,22 May 2005,46179,san-antonio-texas-temple,San Antonio,Texas,United States,"May 22, 2005",NA,FALSE,San Antonio  ,29.4246002,-98.4951405
Monticello Utah Temple,"Monticello, Utah, United States",OPERATING,26 July 1998,36462,monticello-utah-temple,Monticello,Utah,United States,"July 26, 1998",NA,FALSE,Monticello  ,37.8750565,-109.3403148
Santa Cruz Bolivia Temple,Bolivia,ANNOUNCED,Announced,4134475,santa-cruz-bolivia-temple,,,bolivia,,bolivia,TRUE,Santa Cruz Bolivia ,-17.0568696,-64.9912286
